	Start	Marker
716	11489668805	2.0
717	11489868866	12.0
718	11490071035	3.0
719	11490269597	7.0
720	11490470360	2.0
721	11490670507	6.0
722	11490871948	4.0
723	11491069974	11.0
724	11491272113	5.0
725	11491472196	6.0
726	11491672225	2.0
727	11491870343	8.0
728	11492070728	10.0
729	11492272522	1.0
730	11492470797	7.0
731	11492670957	2.0
732	11492872704	10.0
733	11493073174	4.0
734	11493271884	9.0
735	11493472070	0.0
736	11493673340	8.0
737	11493871534	1.0
738	11494073160	11.0
739	11494272680	5.0
740	11496455130	8.0
741	11498179459	888.0
742	11499193866	777.0
743	11499395243	8.0
744	11499592904	4.0
745	11499793564	11.0
746	11499993525	1.0
747	11500194567	9.0
748	11500395169	2.0
749	11500594157	11.0
750	11500794682	3.0
751	11500994974	9.0
752	11501194219	1.0
753	11501394198	11.0
754	11501594220	5.0
755	11501794388	7.0
756	11501994586	12.0
757	11502194784	4.0
758	11502395743	6.0
759	11502595816	3.0
760	11502795298	7.0
761	11502995270	2.0
762	11503195330	9.0
763	11503395468	1.0
764	11503595766	10.0
765	11503798541	5.0
766	11503996593	6.0
767	11504197179	2.0
768	11504395942	8.0
769	11504596096	9.0
770	11504796970	5.0
771	11504996291	7.0
772	11505196442	3.0
773	11505397850	10.0
774	11505598145	5.0
775	11505796821	6.0
776	11505996978	1.0
777	11506197214	9.0
778	11506398350	5.0
779	11506598467	11.0
780	11506797614	0.0
781	11506999503	8.0
782	11507200775	11.0
783	11507399655	3.0
784	11507599860	9.0
785	11507800023	2.0
786	11508000123	10.0
787	11508198362	0.0
788	11508400418	12.0
789	11508599003	2.0
790	11508800618	10.0
791	11508999221	1.0
792	11509200839	7.0
793	11509401475	0.0
794	11509602395	12.0
795	11509801782	7.0
796	11510000722	4.0
797	11510201622	11.0
798	11510400568	3.0
799	11510601386	10.0
800	11510800215	0.0
801	11511001141	12.0
802	11511201159	3.0
803	11511402232	8.0
804	11511602509	0.0
805	11511801437	6.0
806	11512002810	2.0
807	11512203079	9.0
808	11512402964	10.0
809	11512603362	0.0
810	11512803315	12.0
811	11513001409	2.0
812	11513201398	8.0
813	11513403046	4.0
814	11513603745	12.0
815	11513804107	3.0
816	11514004541	6.0
817	11514203269	1.0
818	11514404211	7.0
819	11514604238	0.0
820	11514804249	8.0
821	11515002664	7.0
822	11515204628	4.0
823	11515404866	11.0
824	11515604847	5.0
825	11515805148	9.0
826	11516003063	4.0
827	11516205172	10.0
828	11516404171	5.0
829	11516604700	8.0
830	11516803756	4.0
831	11517005624	6.0
832	11517204748	1.0
833	11517405192	8.0
834	11517606992	6.0
835	11517805114	3.0
836	11518007468	12.0
837	11518206963	1.0
838	11518406470	11.0
839	11518607015	4.0
840	11518807149	6.0
841	11519009272	5.0
842	11519210490	10.0
843	11519408240	0.0
844	11519608288	7.0
845	11519808321	2.0
846	11521988851	12.0
847	11523507125	888.0
848	11524528323	777.0
849	11524729618	11.0
850	11524927842	0.0
851	11525129962	6.0
852	11525328836	1.0
853	11525528879	10.0
854	11525729595	5.0
855	11525930629	6.0
856	11526128759	1.0
857	11526329551	7.0
858	11526530837	4.0
859	11526728759	12.0
860	11526929789	3.0
861	11527130807	7.0
862	11527329015	12.0
863	11527529220	0.0
864	11527732755	7.0
865	11527931569	4.0
866	11528129655	10.0
867	11528329760	5.0
868	11528529771	7.0
869	11528729934	4.0
870	11528931287	9.0
871	11529131453	3.0
872	11529330289	11.0
873	11529530353	2.0
874	11529730496	8.0
875	11529930979	9.0
876	11530130797	1.0
877	11530331851	11.0
878	11530532472	3.0
879	11530732330	12.0
880	11530932787	2.0
881	11531133403	7.0
882	11531333623	4.0
883	11531533688	8.0
884	11531732687	5.0
885	11531933673	7.0
886	11532132007	3.0
887	11532334690	9.0
888	11532532691	6.0
889	11532733524	0.0
890	11532933687	9.0
891	11533134888	2.0
892	11533335057	11.0
893	11533533856	0.0
894	11533734051	12.0
895	11533935293	5.0
896	11534135405	10.0
897	11534335505	2.0
898	11534534540	9.0
899	11534734639	3.0
900	11534934827	6.0
901	11535134890	12.0
902	11535336419	0.0
903	11535536258	11.0
904	11535736380	1.0
905	11535935372	9.0
906	11536135611	2.0
907	11536336789	10.0
908	11536536756	5.0
909	11536737665	6.0
910	11536935919	3.0
911	11537136556	10.0
912	11537338161	1.0
913	11537536276	7.0
914	11537738915	6.0
915	11537937680	0.0
916	11538137754	10.0
917	11538337193	5.0
918	11538537991	7.0
919	11538738173	3.0
920	11538938295	11.0
921	11539138292	5.0
922	11539338516	8.0
923	11539538588	0.0
924	11539739744	12.0
925	11539938157	4.0
